Fiscal Year,Account Type,Department,Division,Fund Description,Account Category,Account Description,Amount,,,Fund Code,Department Code,Division Code
FY20,Revenue,,,Water Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,80000,,,591,,
FY20,Revenue,,,Pension Fund,Other Revenues,Miscellaneous Income.Miscellaneous Income,19500,,,731,,
FY20,Revenue,,,Building Inspection Fund,Other Revenues,Miscellaneous Income.Penalties & Invoice Adjustments ,11000,,,249,,
FY20,Revenue,,,Pension Fund,Other Revenues,Miscellaneous Income.SL Commission Income,21000,,,731,,
FY20,Revenue,,,Water Fund,Other Revenues,Contributions.Contributions,40000,,,591,,
FY20,Revenue,,,Sewer Fund,Contributions from Local Units,Contributions.Grand Valley Regional Biosolids ,417000,,,590,,
FY20,Revenue,,,Water Fund,Other Revenues,Contributions.Ottawa County,150000,,,591,,
FY20,Revenue,,,Pension Fund,Other Financing Sources,Transfer.for Retire. Res.,120000,,,731,,
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Public Safety Fund,2787170,,,101,,
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Fire Fund,1637860,,,101,,
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from Police Fund,2730450,,,101,,
FY20,Revenue,,,Sewer - Construction Reserve,Other Financing Sources,Transfer.from Sewer Operating,100000,,,589,,
FY20,Revenue,,,Water - Construction Reserve Fun,Other Financing Sources,Transfer.Construction Reserve,100000,,,592,,
FY20,Revenue,,,Motor Pool - Depreciation Res,Other Financing Sources,Transfer.From MP Op fund,1609000,,,662,,
FY20,Revenue,,,General Fund,Other Financing Sources,Transfer.from DDA,25000,,,101,,
FY20,Expense,City Council,City Council,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,72938,,,101,101,10100
FY20,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Elected.Salaries - Elected,91448,,,101,136,13600
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,659384,,,101,305,30500
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1440896,,,101,305,31000
FY20,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,4939935,,,101,305,31500
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,186085,,,101,337,33700
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,1827620,,,101,337,33900
FY20,Expense,Fire,Prevention,General Fund,Personal Services,Salaries - Uniform.Salaries - Uniform,142750,,,101,337,34100
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Salaries.Salaries,52095,,,590,590,54800
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Salaries.Salaries,31000,,,591,441,56600
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Salaries.Salaries,370003,,,591,441,56700
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Salaries.Salaries,418099,,,591,441,56200
FY20,Expense,Planning,Planning,General Fund,Personal Services,Salaries.Salaries,244164,,,101,400,40000
FY20,Expense,Public Works,Kentwood Hwys/Street(Non Act 51),General Fund,Personal Services,Salaries.Salaries,1000,,,101,441,44612
FY20,Expense,Public Works,Other Govt/Agencies(Non Act 51),General Fund,Personal Services,Salaries.Salaries,2000,,,101,441,44613
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,288137,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,185002,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries.Salaries,298968,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries.Salaries,82001,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries.Salaries,137042,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries.Salaries,80001,,,203,441,47800
FY20,Expense,Parks and Recreation,Parks and Rec Administration,Parks and Recreation Fund,Personal Services,Salaries.Salaries,140042,,,208,752,75200
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Salaries.Salaries,128693,,,230,441,44300
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Salaries.Salaries,25000,,,211,441,44210
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Salaries.Salaries,217170,,,208,752,76100
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries.Salaries,140946,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Salaries.Salaries,537235,,,208,752,75600
FY20,Expense,Fire,Administration Services,General Fund,Personal Services,Salaries.Salaries,37341,,,101,337,33700
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Salaries.Salaries,361747,,,101,305,31200
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries.Salaries,206043,,,101,201,25300
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries.Salaries,51218,,,101,305,31000
FY20,Expense,Police,Records Management,General Fund,Personal Services,Salaries.Salaries,208240,,,101,305,30700
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Salaries.Salaries,107639,,,101,305,30500
FY20,Expense,Police,Building ,General Fund,Personal Services,Salaries.Salaries,44112,,,101,305,30610
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries.Salaries,609406,,,101,258,25800
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries.Salaries,71381,,,101,267,26700
FY20,Expense,City Clerk,City Clerk,General Fund,Personal Services,Salaries.Salaries,281444,,,101,215,21500
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries.Salaries,399134,,,101,209,20900
FY20,Expense,District Court,District Court,General Fund,Personal Services,Salaries.Salaries,683394,,,101,136,13600
FY20,Expense,District Court,District Court - Probation,General Fund,Personal Services,Salaries.Salaries,248293,,,101,136,15100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries.Salaries,808825,,,101,172,17200
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Salaries.Salaries,508975,,,101,201,20100
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Salaries.Salaries,423850,,,590,441,54200
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Salaries.Salaries,1241974,,,590,590,54300
FY20,Expense,Water Utility,T and D - Storage/W of Gezon,Water Fund,Personal Services,Salaries.Salaries,5993,,,591,591,56100
FY20,Expense,Water Utility,T and D - Pipeline to Gezon,Water Fund,Personal Services,Salaries.Salaries,66555,,,591,591,56300
FY20,Expense,Wastewater Utility,Industrial Pretreatment,Sewer Fund,Personal Services,Salaries.Salaries,280933,,,590,590,54700
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Salaries.Salaries,1295067,,,591,591,55300
FY20,Expense,Water Utility,T and D - Storage/E of Gezon,Water Fund,Personal Services,Salaries.Salaries,5993,,,591,591,55800
FY20,Expense,Water Utility,T and  D - Gezon Station,Water Fund,Personal Services,Salaries.Salaries,73078,,,591,591,55900
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Salaries.Salaries,319684,,,661,441,58200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,Salaries.Salaries,10000,,,591,441,57400
FY20,Expense,Water Utility,T and D - Meters,Water Fund,Personal Services,Salaries.Salaries,185002,,,591,591,56500
FY20,Expense,Water Utility,T and D - Pipeline Meters,Water Fund,Personal Services,Salaries.Salaries,40118,,,591,591,56400
FY20,Expense,Water Utility,Customer Accounting,Water Fund,Personal Services,Salaries.Salaries,223074,,,591,591,56900
FY20,Expense,Public Works,Building,Motor Pool Fund,Personal Services,Salaries.Salaries,58374,,,661,441,58300
FY20,Expense,Fire,Fighting - Dual Empl. Reserves,General Fund,Personal Services,Salaries.Salaries,85000,,,101,337,33901
FY20,Expense,Water Utility,Pumping&Treatment - Lab Services,Water Fund,Personal Services,Salaries.Salaries,243367,,,591,591,55310
FY20,Expense,Wastewater Utility,Treatment - Lab Services,Sewer Fund,Personal Services,Salaries.Salaries,291564,,,590,590,54310
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Salaries.Salaries,6821,,,208,752,76110
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Salaries.Salaries,6821,,,208,752,76111
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Salaries.Salaries,107888,,,249,371,37210
FY20,Expense,Permits,Code Enforcement - CDBG Eligible,Building Inspection Fund,Personal Services,Salaries.Salaries,64820,,,249,371,37220
FY20,Expense,Permits,Rental Program,Building Inspection Fund,Personal Services,Salaries.Salaries,124251,,,249,371,37300
FY20,Expense,Permits,Zoning and Other Programs,Building Inspection Fund,Personal Services,Salaries.Salaries,45608,,,249,371,72200
FY20,Expense,Wastewater Utility,GVRBA Operations-Pump House,Sewer Fund,Personal Services,Salaries.Salaries,9014,,,590,590,54801
FY20,Expense,Permits,Permits,Building Inspection Fund,Personal Services,Salaries.Salaries,379797,,,249,371,37100
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Salaries.Salaries,45976,,,401,267,26700
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Salaries.Salaries,160760,,,101,210,21000
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Salaries.Salaries,54562,,,208,752,76112
FY20,Expense,Planning,Rehabilitation 2020,Community Development Fund,Personal Services,Salaries.Salaries,48002,,,256,400,69120
FY20,Expense,Planning,Administration 2020,Community Development Fund,Personal Services,Salaries.Salaries,46724,,,256,400,17520
FY20,Expense,Public Works,Administration,Capital Improvement Fund,Personal Services,Salaries.Salaries,375413,,,400,441,17500
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20000,,,591,441,56700
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,10000,,,591,441,56600
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20000,,,591,441,56200
FY20,Expense,Public Works,Installation of Service,Water Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,500,,,591,441,57400
FY20,Expense,Water Utility,Pumping and Treatment,Water Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,61628,,,591,591,55300
FY20,Expense,Wastewater Utility,Treatment,Sewer Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,15000,,,590,590,54300
FY20,Expense,Public Works,Transmission,Sewer Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,25000,,,590,441,54200
FY20,Expense,Finance,Accounting,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000,,,101,201,20100
FY20,Expense,City Manager,City Manager,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5500,,,101,172,17200
FY20,Expense,District Court,District Court,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,178952,,,101,136,13600
FY20,Expense,Assessor,Assessor,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,11669,,,101,209,20900
FY20,Expense,City Clerk,City Clerk - Election,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1500,,,101,215,19100
FY20,Expense,Facilities,Facilities Maintenance,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,3000,,,101,267,26700
FY20,Expense,Information Technology,Information Technology,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20032,,,101,258,25800
FY20,Expense,Police,Patrol,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,120176,,,101,305,31500
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000,,,101,201,25300
FY20,Expense,Fire,Fighting,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,60000,,,101,337,33900
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,185000,,,208,752,75600
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,35290,,,208,752,75800
FY20,Expense,Parks and Recreation,Recreation,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,33750,,,208,752,76100
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,1000,,,211,441,44210
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,37000,,,230,441,44300
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,10000,,,203,441,47400
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,20000,,,202,441,47400
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000,,,203,441,46300
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,15000,,,202,441,46300
FY20,Expense,Parks and Recreation,21st Century Cohort K,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,36874,,,208,752,76112
FY20,Expense,Fire,Fighting - Paid on Call,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,125000,,,101,337,33902
FY20,Expense,Attorney,Legal Services,General Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,23350,,,101,210,21000
FY20,Expense,Facilities,Facilities Maintenance,Library Maint & Capital Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,2000,,,401,267,26700
FY20,Expense,Public Works,Equipment Operations,Motor Pool Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,16110,,,661,441,58200
FY20,Expense,Parks and Recreation,21st Century Cohort I - 2,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,14610,,,208,752,76111
FY20,Expense,Parks and Recreation,21st Century Cohort I - 1,Parks and Recreation Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,14610,,,208,752,76110
FY20,Expense,Permits,Code Enforcement - Other,Building Inspection Fund,Personal Services,Salaries - Temporary.Salaries - Temporary,5000,,,249,371,37210
FY20,Expense,Wastewater Utility,GVRBA Operations-Land Appl,Sewer Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,3200,,,590,590,54800
FY20,Expense,Public Works,T and D - Hydrants,Water Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000,,,591,441,56600
FY20,Expense,Public Works,T and D - Services,Water Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,68500,,,591,441,56700
FY20,Expense,Public Works,T and D - Mains,Water Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,42310,,,591,441,56200
FY20,Expense,Public Works,Street Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,13220,,,202,441,46300
FY20,Expense,Public Works,Street Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,11250,,,203,441,46300
FY20,Expense,Public Works,Traffic Services,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,14600,,,202,441,47400
FY20,Expense,Public Works,Winter Maintenance,Major Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,50000,,,202,441,47800
FY20,Expense,Public Works,Traffic Services,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000,,,203,441,47400
FY20,Expense,Public Works,Winter Maintenance,Local Streets Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,45000,,,203,441,47800
FY20,Expense,Public Works,Yard Waste Disposal,Solid Waste Disposal Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,36900,,,230,441,44300
FY20,Expense,Public Works,Sidewalk Repair,Sidewalk Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000,,,211,441,44210
FY20,Expense,Parks and Recreation,Parks and Rec - Senior Center,Parks and Recreation Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,800,,,208,752,75800
FY20,Expense,Parks and Recreation,Parks and Rec Facility,Parks and Recreation Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,27000,,,208,752,75600
FY20,Expense,Police,Forensic Science Unit,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,15000,,,101,305,31200
FY20,Expense,Finance,Treasurer,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1000,,,101,201,25300
FY20,Expense,Police,Records Management,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500,,,101,305,30700
FY20,Expense,Police,Detective Bureau,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,1500,,,101,305,31000
FY20,Expense,Police,Building ,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,2000,,,101,305,30610
FY20,Expense,Police,Administration Services,General Fund,Personal Services,Salaries - Overtime.Salaries - Overtime,500,,,101,305,30500
